
2017-06-08 09:30:12 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-08 09:30:14 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-08 09:32:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location

2017-06-08 09:32:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location

2017-06-08 10:10:06 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-08 10:10:24 FATAL| DefaultExceptionLogger caught unhandled exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)

2017-06-08 10:13:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-08 10:13:52 FATAL| DefaultExceptionLogger caught unhandled exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)

2017-06-08 10:15:17 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-08 10:15:19 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang
