
2017-06-19 09:32:07 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:32:08 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:32:11 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:32:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 09:32:11 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 09:32:28 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:32:29 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:32:29 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:32:29 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 09:32:29 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 09:36:01 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:36:01 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:36:01 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:36:48 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location

2017-06-19 09:36:48 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang
2017-06-19 09:36:48 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:36:48 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 09:36:48 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 09:38:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:38:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:38:11 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:38:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 09:38:11 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 09:41:58 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:41:58 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:41:58 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:42:04 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:45:17 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:45:17 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:45:17 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:58:32 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 09:58:33 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 09:58:33 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 09:58:33 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 09:58:33 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:07:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:07:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:07:11 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:07:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:07:11 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:08:12 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:08:13 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:08:13 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:09:25 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:09:25 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:09:51 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:09:51 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:09:51 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:09:54 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:09:54 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:17:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:17:11 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:17:11 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:03 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version


2017-06-19 10:18:03 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:18:03 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:03 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:18:03 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:03 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:03 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:18:26 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:26 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:26 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

