
2017-06-20 09:30:04 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5
2017-06-20 09:30:28 FATAL| System.ArgumentException: Cannot delete a seat when someone is sitting on.

2017-06-20 09:30:51 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5

2017-06-20 09:48:28 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5
2017-06-20 09:50:34 FATAL| System.ArgumentException: Cannot delete a seat when someone is sitting on.

2017-06-20 09:51:27 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5
2017-06-20 09:52:08 FATAL| System.ArgumentException: Cannot delete a seat when someone is sitting on.

2017-06-20 10:06:13 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5

2017-06-20 10:08:13 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5
2017-06-20 10:08:43 FATAL| System.ArgumentException: Cannot delete a seat when someone is ------------- sitting on.

2017-06-20 10:10:15 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5
2017-06-20 10:10:55 FATAL| System.ArgumentException: Cannot delete a seat when someone is ------------- sitting on.

2017-06-20 10:12:48 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5

2017-06-20 15:41:25 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-20 15:41:58 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang
